Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id,update_frequency
For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Bbay, DaBaby",0,1.0,2.0,2.0,2.0,0.586,0.34700000000000003,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,0PvFJmanyNQMseIFrU708S,1
Gucci Flip Flops,Bhad Bhabie feat. Lil Yatchy,1,2.0,1.0,2.0,2.0,0.603,0.177,https://open.spotify.com/track/3hv6ndi7uFT9L9wrhQCsqY,3hv6ndi7uFT9L9wrhQCsqY,1
WAP (feat. Megan Thee Stallion),"Cardi B, Megan, Thee Stallion",1,3.0,1.0,2.0,1.0,0.45399999999999996,0.35700000000000004,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,4Oun2ylbjFKMPTiaSbbCih,1
pov,Ariana Grande,0,1.0,1.0,3.0,4.0,0.534,0.17300000000000001,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,3UoULw70kMsiVXxW0L3A33,1
What You Know Bout Love,Pop Smoke ,0,1.0,1.0,3.0,2.0,0.5479999999999999,0.5429999999999999,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,1tkg4EHVoqnhR6iFEXb60y,1
34 + 35,Ariana Grande,0,1.0,1.0,4.0,1.0,0.585,0.485,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,6Im9k8u9iIzKMrmV7BWtlF,1
Drankin N Smokin,"Future, Lil Uzi Vert",1,1.0,3.0,2.0,1.0,0.6579999999999999,0.387,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv,0k7wmahjkn389wAZdz19Cv,1
Tyler Herro,Jack Harlow,1,1.0,2.0,3.0,1.0,0.7559999999999999,0.775,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB,4DuUwzP4ALMqpquHU0ltAB,1
All I Want for Christmas Is You,Mariah Carey,1,1.0,1.0,5.0,1.0,0.652,0.7440000000000001,https://open.spotify.com/track/4I5Hn34v6foGP3ta9Xx0rN,4I5Hn34v6foGP3ta9Xx0rN,1
HOLIDAY,Lil Nas X,1,1.0,1.0,2.0,1.0,0.511,0.8370000000000001,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli,6zFMeegAMYQo0mt8rXtrli,1
Come & Go (with Marshmello),"Juice WRLD, Marshmello",0,2.0,1.0,5.0,1.0,0.8140000000000001,0.535,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,2Y0wPrPQBrGhoLn14xRYCG,1
Lonely (with benny blanco),"Justin Bieber, benny blanco",0,1.0,4.0,1.0,3.0,0.239,0.0927,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,4y4spB9m0Q6026KfkAvy9Q,1
Hawai - Remix,"Maluma, The Weeknd",1,1.0,2.0,3.0,1.0,0.7879999999999999,0.609,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F,0GzuHFG4Ql6DoyxFRnIk3F,1
Wishing Well,Juice WRLD,0,3.0,2.0,1.0,1.0,0.613,0.0804,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,2U5WueTLIK5WJLD7mvDODv,1
Holy,"Justin Bieber, Chance the Rapper",0,1.0,1.0,3.0,3.0,0.7040000000000001,0.3720000000000001,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,5u1n1kITHCxxp8twBcZxWy,1
Put Your Records On,Ritt Momney,1,1.0,1.0,4.0,3.0,0.491,0.151,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,6AGOKlMZWLCaEJGnaROtF9,1
Heather,Conan Gray,0,1.0,4.0,1.0,4.0,0.425,0.27,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,4xqrdfXkTW4T0RauPLv3WA,1
SO DONE,The Kid LAROI,1,2.0,3.0,1.0,1.0,0.598,0.303,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC,5psEZhQu6lukjhavJo4AbC,1
Savage Love,"Jawsh 685, Jason Derulo",1,1.0,1.0,4.0,1.0,0.48100000000000004,0.7609999999999999,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,1xQ6trAsedVPCdbtDAmk0c,1
you broke me first,Tate McRae,1,1.0,4.0,1.0,2.0,0.374,0.0799,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,45bE4HXI0AwGZXfZtMp8JR,1
That's it,"Future, Lil Uzi Vert",1,1.0,1.0,3.0,1.0,0.532,0.599,https://open.spotify.com/track/5n6gBhdEjCuj3obgCoTEFD,5n6gBhdEjCuj3obgCoTEFD,1
Levitating (feat. DaBaby),Dua Lipa,1,1.0,1.0,4.0,1.0,0.825,0.915,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9,463CkQjx2Zk1yXoBuierM9,1
Sofia,Clairo,0,1.0,3.0,1.0,1.0,0.619,0.6409999999999999,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,7B3z0ySL9Rr0XvZEAjWZzM,1
Watermelon Sugar,Harry Styles,1,1.0,1.0,4.0,1.0,0.816,0.557,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,6UelLqGlWMcVH1E5c4H7lY,1
Forever After All,Luke Combs,1,1.0,3.0,2.0,1.0,0.65,0.456,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew,6IBcOGPsniK3Pso1wHIhew,1
Blueberry Faygo,Lil Mosey,0,1.0,1.0,3.0,1.0,0.5539999999999999,0.349,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh,6wJYhPfqk3KGhHRG76WzOh,1
